FolW,FolM,FolS,FolN,GCW,GCM,GCS,GCN,MZW,MZM,MZS,MZN,InterW,InterM,InterS,InterN
15.28,4.46,1.6,78.66,22.85,9.68,3.93,63.53,13.69,3.43,1.12,81.76,34.53,16.93,6.28,42.26
12.72,3.32,0.97,83,25.02,8.83,2.29,63.87,11.56,2.8,0.89,84.75,41.08,22.2,6.13,30.58
15.12,3.85,0.3,80.73,25.3,6.92,0.46,67.32,13.17,3.2,0.25,83.37,32.88,13.61,2.08,51.43
29.6,12.32,3.25,54.82,33.27,19.97,7.07,39.69,28.01,9.71,2.02,60.26,38.92,32.22,11.01,17.85
28.36,8.12,3.18,60.34,31.38,13.79,6.39,48.44,27.5,6.66,2.45,63.39,39.91,27.12,12.57,20.4
9.46,2.69,0.38,87.47,25.67,10.61,1.65,62.07,6.46,1.27,0.15,92.12,34.09,9.49,1.02,55.4
17.98,6.14,1.73,74.15,27.99,9.84,2.82,59.34,14.91,4.76,1.26,79.07,35.75,17.5,5.12,41.63
40.47,13.43,2.94,43.16,41.25,20.22,8.6,29.93,39.98,11.69,1.84,46.5,41.47,22.57,8.65,27.3
28.26,10.99,2.81,57.94,32.89,11.67,1.99,53.45,26.69,10.18,2.69,60.45,37.66,12.79,2.71,46.85
21.74,3.61,0.83,73.83,28.09,7.5,2.04,62.37,22.72,2.59,0.32,74.37,40.52,18.6,3.46,37.42
