FolW,FolM,FolS,FolN,GCW,GCM,GCS,GCN,MZW,MZM,MZS,MZN,InterW,InterM,InterS,InterN
26.34,10.64,4.6,58.43,33.3,21.67,12.29,32.74,24.58,6.72,1.67,67.03,34.45,22.2,10.28,33.08
36.12,13.42,3.74,46.72,33.29,15.94,6.77,44,36.96,12.04,2.49,48.51,36.25,31.31,16.47,15.97
15.72,2.79,0.68,80.81,26.37,6.56,1.43,65.64,13.67,2.03,0.52,83.78,42.23,37.86,9.64,10.27
15.09,5.78,3.48,75.65,25.47,12.29,8.18,54.05,9.31,2.19,1.12,87.38,30.87,17.32,7.44,44.37
4.29,1.03,0.19,94.49,5.28,1.3,0.26,93.16,3.47,0.76,0.13,95.64,10.56,3.82,0.87,84.76
33.32,9.22,3.17,54.29,33.52,19.12,10.29,37.07,33.55,6.76,1.51,58.18,40.25,39.24,15.07,5.45
18.66,5.43,1.94,73.98,29.35,12.59,6.08,51.98,16.29,3.62,1.01,79.08,38.13,19.51,5.46,36.89
49.54,14.47,2.98,33,51.6,20.33,5.36,22.71,48.89,13.68,2.63,34.8,37.35,40.96,15.53,6.16
31,13.17,4.32,51.52,37.65,21.82,9.78,30.75,31.04,12.28,3.32,53.37,33.55,22.45,10.87,33.12
22.84,8.67,3.01,65.48,38.83,15.94,5.84,39.4,14.69,4.73,1.42,79.16,34.02,18.91,6.91,40.16
18.2,4.65,1.68,75.47,19.18,4.94,1.56,74.32,17.97,4.58,1.71,75.74,38.01,18.01,5.83,38.15
1.44,0.24,0.03,98.29,7.55,1.73,0.43,90.3,1.11,0.16,0.02,98.7,22.51,8.55,1.89,67.05
33.14,10.6,1.85,54.41,41.9,18.28,3.98,35.84,31.45,8.77,1.32,58.46,32.56,11.04,2.06,54.35
20.02,6.35,1.66,71.97,30.23,13.73,4.43,51.61,18.6,4.91,1.08,75.41,35.49,21.05,7.44,36.02
22.51,8.75,2.41,66.32,37.56,24.31,8.46,29.68,19.69,5.07,0.91,74.33,33.8,13.42,2.04,50.74
30.48,9.05,1.33,59.15,36.14,14.59,2.77,46.49,29.27,6.92,0.74,63.06,42.9,20.22,3.86,33.03
